	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	2	203	350	24146	0	50	260	24391	0	50	92	24559	1	156	259	24285	1	156	91	24453
1	46	468	1549	22638	5	244	436	24016	16	233	1138	23314	12	259	429	24001	13	258	1141	23289
2	14	1140	225	23322	5	811	129	23756	5	811	100	23785	3	347	131	24220	1	349	104	24247
3	1	0	1397	23303	1	0	842	23858	0	1	555	24145	0	0	843	23858	0	0	555	24146
4	9	70	1524	23098	9	60	655	23977	0	69	869	23763	0	10	664	24027	0	10	869	23822
5	11	534	396	23760	8	439	216	24038	2	445	181	24073	0	99	224	24378	1	98	182	24420
6	142	1012	1250	22297	77	739	760	23125	22	794	533	23352	41	309	796	23555	5	345	550	23801
7	968	5041	1725	16967	479	3457	1071	19694	174	3762	969	19796	342	2686	1208	20465	157	2871	986	20687
8	6	56	3912	20727	0	21	2243	22437	2	19	1673	23007	0	41	2243	22417	4	37	1671	22989
9	3	46	1877	22775	1	31	944	23725	1	31	934	23735	1	16	944	23740	0	17	935	23749
10	3	707	63	23928	2	337	48	24314	0	339	16	24346	0	387	50	24264	1	386	15	24299
11	18	106	1256	23321	14	96	734	23857	4	106	522	24069	0	14	748	23939	0	14	526	24161
12	1	0	1397	23303	0	0	736	23965	0	0	662	24039	1	0	735	23965	0	1	662	24038
13	1	91	11	24598	0	27	12	24662	0	27	0	24674	1	64	11	24625	0	65	0	24636
14	5	44	1145	23507	0	23	639	24039	0	23	511	24167	4	22	635	24040	1	25	510	24165
15	66	448	1894	22293	9	240	971	23481	26	223	954	23498	10	261	970	23460	21	250	959	23471
16	1	368	0	24332	0	113	1	24587	0	113	0	24588	1	256	0	24444	0	257	0	24444
17	2	615	56	24028	0	292	2	24407	0	292	56	24353	0	330	2	24369	2	328	54	24317
18	1	91	25	24584	0	76	25	24600	0	76	1	24624	1	15	24	24661	0	16	1	24684
19	1	1	8965	15734	0	2	4369	20330	1	1	4596	20103	0	0	4369	20332	0	0	4597	20104
20	38	54	7713	16896	9	18	4129	20545	5	22	3608	21066	14	51	4124	20512	10	55	3603	21033
21	2	16	975	23708	1	16	559	24125	1	16	416	24268	0	1	560	24140	0	1	417	24283
22	8	116	991	23586	8	102	552	24039	0	110	439	24152	0	14	560	24127	0	14	439	24248
23	22	1132	418	23129	11	805	253	23632	9	807	167	23718	1	349	263	24088	1	349	175	24176
24	2	367	1	24331	0	113	3	24585	0	113	0	24588	2	255	1	24443	0	257	0	24444
25	1	0	3820	20880	0	0	1821	22880	0	0	2000	22701	1	0	1820	22880	0	1	2000	22700
26	1	61	45	24594	0	21	27	24653	0	21	19	24661	1	40	26	24634	0	41	19	24641
27	1	61	1409	23230	0	21	1319	23361	0	21	91	24589	1	40	1318	23342	0	41	91	24569
28	254	5755	455	18237	147	3789	277	20488	29	3907	256	20509	93	2935	331	21342	29	2999	256	21417
