lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000234546_ASO_G0234546_07	RP3-510D11.2	205	157	50	352	92	260	2	0	0	1	1
ENSG00000214548_ASO_G0214548_01	MEG3	514	271	249	1595	1154	441	46	5	16	12	13
ENSG00000234608_ASO_G0234608_AD_01	MAPKAPK5-AS1	1154	350	816	239	105	134	14	5	5	3	1
ENSG00000246430_ASO_G0246430_03	LINC00968	1	0	1	1398	555	843	1	1	0	0	0
ENSG00000233117_ASO_G0233117_02	LINC00702	79	10	69	1533	869	664	9	9	0	0	0
ENSG00000223478_ASO_G0223478_03	RP11-545E17.3	545	99	447	407	183	224	11	8	2	0	1
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	1154	350	816	1392	555	837	142	77	22	41	5
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	6009	3028	3936	2693	1143	1550	968	479	174	342	157
ENSG00000229847_ASO_G0229847_AD_04	EMX2OS	62	41	21	3918	1675	2243	6	0	2	0	4
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	49	17	32	1880	935	945	3	1	1	1	0
ENSG00000245571_ASO_G0245571_06	AP001258.4	710	387	339	66	16	50	3	2	0	0	1
ENSG00000231185_ASO_G0231185_03	AC005592.2	124	14	110	1274	526	748	18	14	4	0	0
ENSG00000230844_ASO_G0230844_01	ZNF674-AS1	1	1	0	1398	662	736	1	0	0	1	0
ENSG00000233396_ASO_G0233396_02	RP11-458D21.1	92	65	27	12	0	12	1	0	0	1	0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	49	26	23	1150	511	639	5	0	0	4	1
ENSG00000214548_ASO_G0214548_AD_09	MEG3	514	271	249	1960	980	980	66	9	26	10	21
ENSG00000225470_ASO_G0225470_05	JPX	369	257	113	1	0	1	1	0	0	1	0
ENSG00000237187_ASO_G0237187_AD_08	NR2F1-AS1	617	330	292	58	56	2	2	0	0	0	2
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	92	16	76	26	1	25	1	0	0	1	0
ENSG00000246067_ASO_G0246067_AD_06	RAB30-AS1	2	0	2	8966	4597	4369	1	0	1	0	0
ENSG00000233396_ASO_G0233396_07	RP11-458D21.1	92	65	27	7751	3613	4138	38	9	5	14	10
ENSG00000204054_ASO_G0204054_06	LINC00963	18	1	17	977	417	560	2	1	1	0	0
ENSG00000231185_ASO_G0231185_02	AC005592.2	124	14	110	999	439	560	8	8	0	0	0
ENSG00000234608_ASO_G0234608_AD_04	MAPKAPK5-AS1	1154	350	816	440	176	264	22	11	9	1	1
ENSG00000225470_ASO_G0225470_AD_04	JPX	369	257	113	3	0	3	2	0	0	2	0
ENSG00000223485_ASO_G0223485_01	RP11-417E7.1	1	1	0	3821	2000	1821	1	0	0	1	0
ENSG00000229847_ASO_G0229847_01	EMX2OS	62	41	21	46	19	27	1	0	0	1	0
ENSG00000229847_ASO_G0229847_AD_02	EMX2OS	62	41	21	1410	91	1319	1	0	0	1	0
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	6009	3028	3936	709	285	424	254	147	29	93	29
