	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	10	156	805	23730	1	26	483	24191	1	26	330	24344	8	131	476	24086	0	139	331	24231
1	1	10	1532	23158	0	7	664	24030	1	6	868	23826	0	4	664	24033	0	4	869	23828
2	6	948	46	23701	0	107	43	24551	0	107	9	24585	6	841	37	23817	0	847	9	23845
3	5	8	6358	18330	4	3	3018	21676	1	6	3340	21354	0	6	3022	21673	0	6	3341	21354
4	4	162	156	24379	0	27	129	24545	0	27	31	24643	4	135	125	24437	0	139	31	24531
5	10	51	1140	23500	1	13	638	24049	0	14	511	24176	8	39	631	24023	1	46	510	24144
6	3	951	23	23724	1	106	24	24570	0	107	1	24593	2	845	23	23831	0	847	1	23853
7	5	5	8961	15730	3	4	4366	20328	0	7	4597	20097	1	2	4368	20330	1	2	4596	20102
8	7	17	4506	20171	0	5	2452	22244	0	5	2061	22635	7	12	2445	22237	0	19	2061	22621
9	3	16	1332	23350	0	3	756	23942	0	3	579	24119	3	13	753	23932	0	16	579	24106
10	7	159	323	24212	0	27	173	24501	0	27	157	24517	2	137	171	24391	5	134	152	24410
11	1	23	243	24434	0	5	163	24533	0	5	81	24615	1	18	162	24520	0	19	81	24601
12	2	38	841	23820	1	20	434	24246	0	21	408	24272	0	19	435	24247	1	18	407	24275
