lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000257219_ASO_G0257219_AD_10	RP11-54A9.1	2152	1029	1162	11	1	10	2	1	0	1	0
ENSG00000260032_ASO_G0260032_AD_01	LINC00657	198	143	55	884	379	505	10	1	1	7	1
ENSG00000234546_ASO_G0234546_07	RP3-510D11.2	62	41	21	352	92	260	1	1	0	0	0
ENSG00000268895_ASO_G0268895_01	A1BG-AS1	70	25	45	1035	505	530	5	1	1	3	0
ENSG00000271270_ASO_G0271270_09	TMCC1-AS1	81	10	71	1118	429	689	10	10	0	0	0
ENSG00000256268_ASO_G0256268_AD_03	RP11-221N13.3	1149	858	306	2	0	2	1	0	0	1	0
ENSG00000269834_ASO_G0269834_AD_06	CTD-3018O17.3	8930	2209	7008	70	34	36	28	13	8	4	3
ENSG00000212978_ASO_G0212978_01	AC016747.3	3173	1441	1859	31	7	24	8	6	0	3	0
ENSG00000229847_ASO_G0229847_03	EMX2OS	270	172	98	90	47	43	2	0	0	2	0
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	2152	1029	1162	220	68	152	26	4	2	15	5
ENSG00000228526_ASO_G0228526_10	RP3-510D11.1	2195	1371	846	14	6	8	1	0	0	1	0
ENSG00000269834_ASO_G0269834_02	CTD-3018O17.3	8930	2209	7008	78	16	62	27	18	4	5	0
ENSG00000214548_ASO_G0214548_01	MEG3	5266	3035	2592	1595	1154	441	400	61	118	110	144
ENSG00000234608_ASO_G0234608_AD_01	MAPKAPK5-AS1	8563	3279	6208	239	105	134	93	44	24	20	11
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	1149	858	306	654	313	341	47	3	1	24	19
ENSG00000229647_ASO_G0229647_06	AC007879.7	4871	4053	972	97	26	71	37	7	0	33	2
ENSG00000246430_ASO_G0246430_03	LINC00968	542	388	155	1398	555	843	53	13	5	27	9
ENSG00000273015_ASO_G0273015_05	LINC00938	950	260	696	184	122	62	9	3	5	1	0
ENSG00000253161_ASO_C013368_01	RP11-150O12.1	2585	2128	497	118	36	82	10	1	0	4	5
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	147	106	41	815	331	484	14	1	2	9	2
ENSG00000233117_ASO_G0233117_02	LINC00702	6064	4223	2252	1533	869	664	490	94	79	270	89
ENSG00000246089_ASO_G0246089_02	RP11-115C21.2	842	171	676	32	1	31	3	2	0	1	0
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	1149	858	306	90	24	66	10	3	0	7	1
ENSG00000223478_ASO_G0223478_03	RP11-545E17.3	3185	1867	1370	407	183	224	58	17	3	25	14
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	8563	3279	6208	1392	555	837	726	463	142	164	58
ENSG00000250786_ASO_G0250786_AD_10	SNHG18	5045	2201	2957	21	2	19	8	6	0	1	1
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	52	20	32	2693	1143	1550	10	4	2	3	1
ENSG00000205181_ASO_G0205181_01	LINC00654	3931	2538	1557	105	17	88	29	8	1	17	4
ENSG00000229847_ASO_G0229847_AD_04	EMX2OS	270	172	98	3918	1675	2243	59	11	12	18	18
ENSG00000212978_ASO_G0212978_02	AC016747.3	3173	1441	1859	90	34	56	14	2	3	7	2
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	2585	2128	497	1880	935	945	270	23	11	130	110
ENSG00000234456_ASO_G0234456_04	MAGI2-AS3	2867	1783	1153	52	9	43	8	2	0	6	0
ENSG00000180769_ASO_G0180769_08	WDFY3-AS2	1559	836	743	6	0	6	3	1	0	2	0
ENSG00000254682_ASO_G0254682_06	RP11-660L16.2	645	55	590	184	46	138	8	7	0	1	0
ENSG00000240875_ASO_G0240875_02	LINC00886	524	411	115	343	183	160	14	3	1	5	5
ENSG00000233117_ASO_G0233117_04	LINC00702	6064	4223	2252	5	1	4	2	0	0	2	0
ENSG00000250742_ASO_G0250742_AD_04	RP11-834C11.4	513	346	167	26	1	25	1	0	0	1	0
ENSG00000233396_ASO_G0233396_02	RP11-458D21.1	9537	2300	8208	12	0	12	9	7	0	3	0
ENSG00000225733_ASO_G0225733_AD_06	FGD5-AS1	147	106	41	160	31	129	2	0	0	2	0
ENSG00000269834_ASO_G0269834_AD_02	CTD-3018O17.3	8930	2209	7008	95	41	54	40	20	14	6	1
ENSG00000270069_ASO_G0270069_05	RP6-99M1.2	1643	1246	406	2	0	2	1	0	0	1	0
ENSG00000260032_ASO_G0260032_AD_06	LINC00657	198	143	55	406	213	193	3	0	0	2	1
ENSG00000221817_ASO_G0221817_AD_08	RP11-137L10.6	480	378	104	19	5	14	1	0	0	1	0
ENSG00000237187_ASO_G0237187_03	NR2F1-AS1	4675	2268	2662	6	0	6	2	1	0	1	0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	1103	737	377	1150	511	639	92	11	4	58	21
ENSG00000227036_ASO_G0227036_04	LINC00511	51	47	4	680	429	251	2	0	0	2	0
ENSG00000214548_ASO_G0214548_AD_09	MEG3	5266	3035	2592	1960	980	980	529	72	175	132	200
ENSG00000237187_ASO_G0237187_AD_08	NR2F1-AS1	4675	2268	2662	58	56	2	6	0	4	0	2
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	2867	1783	1153	26	1	25	7	1	0	6	0
ENSG00000246067_ASO_G0246067_AD_06	RAB30-AS1	1	0	1	8966	4597	4369	1	1	0	0	0
ENSG00000257219_ASO_G0257219_09	RP11-54A9.1	2152	1029	1162	6	0	6	2	1	0	1	0
ENSG00000233396_ASO_G0233396_07	RP11-458D21.1	9537	2300	8208	7751	3613	4138	3859	2203	1263	454	348
ENSG00000251580_ASO_G0251580_AD_05	RP11-539L10.3	3178	519	2679	210	70	140	48	34	9	0	5
ENSG00000204054_ASO_G0204054_06	LINC00963	526	393	136	977	417	560	39	8	1	23	7
ENSG00000234608_ASO_G0234608_AD_04	MAPKAPK5-AS1	8563	3279	6208	440	176	264	195	86	53	70	18
ENSG00000225733_ASO_G0225733_04	FGD5-AS1	147	106	41	330	157	173	3	0	1	1	1
ENSG00000268895_ASO_G0268895_03	A1BG-AS1	70	25	45	3044	1228	1816	19	7	3	8	1
ENSG00000223485_ASO_G0223485_01	RP11-417E7.1	2596	2000	649	3821	2000	1821	535	72	42	355	79
ENSG00000229847_ASO_G0229847_AD_02	EMX2OS	270	172	98	1410	91	1319	23	7	0	16	0
ENSG00000223485_ASO_G0223485_AD_04	RP11-417E7.1	2596	2000	649	4157	1841	2316	558	99	54	256	160
ENSG00000237187_ASO_G0237187_AD_01	NR2F1-AS1	4675	2268	2662	2	0	2	2	0	0	2	0
ENSG00000240875_ASO_G0240875_03	LINC00886	524	411	115	843	408	435	31	4	0	13	14
ENSG00000254682_ASO_G0254682_02	RP11-660L16.2	645	55	590	750	435	315	33	22	6	1	4
ENSG00000212978_ASO_G0212978_03	AC016747.3	3173	1441	1859	887	382	505	170	74	33	52	24
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	52	20	32	709	285	424	1	0	0	1	0
ENSG00000221817_ASO_G0221817_04	RP11-137L10.6	480	378	104	766	406	360	18	2	2	7	7
