lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000257219_ASO_G0257219_AD_10	RP11-54A9.1	1827	1465	376	11	1	10	1	0	0	1	0
ENSG00000260032_ASO_G0260032_AD_01	LINC00657	32	27	5	884	379	505	2	0	0	2	0
ENSG00000234546_ASO_G0234546_07	RP3-510D11.2	741	407	340	352	92	260	8	3	1	2	2
ENSG00000268895_ASO_G0268895_01	A1BG-AS1	410	254	157	1035	505	530	31	4	4	22	1
ENSG00000212978_ASO_G0212978_01	AC016747.3	2964	2044	996	31	7	24	9	4	1	4	0
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	1827	1465	376	220	68	152	31	4	2	21	5
ENSG00000214548_ASO_G0214548_01	MEG3	425	336	90	1595	1154	441	34	1	5	17	11
ENSG00000234608_ASO_G0234608_AD_01	MAPKAPK5-AS1	214	165	50	239	105	134	1	0	0	1	0
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	95	81	14	654	313	341	9	0	2	4	3
ENSG00000229647_ASO_G0229647_06	AC007879.7	691	533	162	97	26	71	9	1	0	7	1
ENSG00000234546_ASO_G0234546_02	RP3-510D11.2	741	407	340	25	10	15	1	0	0	1	0
ENSG00000273015_ASO_G0273015_05	LINC00938	89	13	76	184	122	62	1	0	1	0	0
ENSG00000253161_ASO_C013368_01	RP11-150O12.1	276	179	97	118	36	82	4	0	2	1	1
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	95	81	14	90	24	66	1	1	0	0	0
ENSG00000223478_ASO_G0223478_03	RP11-545E17.3	101	48	53	407	183	224	1	0	0	0	1
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	214	165	50	1392	555	837	24	9	0	11	4
ENSG00000267577_ASO_G0267577_01	CTD-2587H24.5	431	234	200	9929	4748	5181	214	61	29	101	26
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	58	33	25	2693	1143	1550	12	3	1	6	2
ENSG00000205181_ASO_G0205181_01	LINC00654	929	745	188	105	17	88	8	0	1	7	0
ENSG00000212978_ASO_G0212978_02	AC016747.3	2964	2044	996	90	34	56	20	1	1	18	1
ENSG00000229852_ASO_G0229852_03	RP11-398K22.12	19	0	19	1028	432	596	2	1	1	0	0
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	276	179	97	1880	935	945	26	2	3	17	4
ENSG00000234456_ASO_G0234456_04	MAGI2-AS3	559	485	74	52	9	43	1	0	0	1	0
ENSG00000231185_ASO_G0231185_03	AC005592.2	56	18	38	1274	526	748	2	1	0	1	0
ENSG00000270069_ASO_G0270069_05	RP6-99M1.2	341	271	70	2	0	2	1	0	0	1	0
ENSG00000260032_ASO_G0260032_AD_06	LINC00657	32	27	5	406	213	193	1	0	0	0	1
ENSG00000237187_ASO_G0237187_03	NR2F1-AS1	438	346	92	6	0	6	1	0	0	1	0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	46	39	7	1150	511	639	4	0	0	2	2
ENSG00000214548_ASO_G0214548_AD_09	MEG3	425	336	90	1960	980	980	44	2	5	9	29
ENSG00000237187_ASO_G0237187_AD_08	NR2F1-AS1	438	346	92	58	56	2	1	0	0	0	1
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	559	485	74	26	1	25	3	0	0	3	0
ENSG00000257219_ASO_G0257219_09	RP11-54A9.1	1827	1465	376	6	0	6	3	0	0	3	0
ENSG00000233396_ASO_G0233396_07	RP11-458D21.1	38	14	24	7751	3613	4138	22	12	3	5	2
ENSG00000251580_ASO_G0251580_AD_05	RP11-539L10.3	6564	4512	2297	210	70	140	65	20	7	25	15
ENSG00000231185_ASO_G0231185_02	AC005592.2	56	18	38	999	439	560	2	1	0	1	0
ENSG00000234608_ASO_G0234608_AD_04	MAPKAPK5-AS1	214	165	50	440	176	264	6	1	0	5	0
ENSG00000268895_ASO_G0268895_03	A1BG-AS1	410	254	157	3044	1228	1816	68	12	8	31	17
ENSG00000223485_ASO_G0223485_01	RP11-417E7.1	67	58	9	3821	2000	1821	16	1	0	12	3
ENSG00000223485_ASO_G0223485_AD_04	RP11-417E7.1	67	58	9	4157	1841	2316	15	0	2	10	3
ENSG00000237187_ASO_G0237187_AD_01	NR2F1-AS1	438	346	92	2	0	2	1	0	0	1	0
ENSG00000267577_ASO_G0267577_03	CTD-2587H24.5	431	234	200	5234	2441	2793	114	26	14	52	24
ENSG00000212978_ASO_G0212978_03	AC016747.3	2964	2044	996	887	382	505	125	26	12	55	35
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	58	33	25	709	285	424	4	2	0	1	1
