	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	1	1826	10	22864	0	376	10	24315	0	376	1	24324	1	1464	9	23227	0	1465	1	23235
1	2	30	882	23787	0	5	505	24191	0	5	379	24317	2	25	503	24171	0	27	379	24295
2	8	733	344	23616	3	337	257	24104	1	339	91	24270	2	405	258	24036	2	405	90	24204
3	31	379	1004	23287	4	153	526	24018	4	153	501	24043	22	232	508	23939	1	253	504	23943
4	9	2955	22	21715	4	992	20	23685	1	995	6	23699	4	2040	20	22637	0	2044	7	22650
5	31	1796	189	22685	4	372	148	24177	2	374	66	24259	21	1444	131	23105	5	1460	63	23173
6	34	391	1561	22715	1	89	440	24171	5	85	1149	23462	17	319	424	23941	11	325	1143	23222
7	1	213	238	24249	0	50	134	24517	0	50	105	24546	1	164	133	24403	0	165	105	24431
8	9	86	645	23961	0	14	341	24346	2	12	311	24376	4	77	337	24283	3	78	310	24310
9	9	682	88	23922	1	161	70	24469	0	162	26	24513	7	526	64	24104	1	532	25	24143
10	1	740	24	23936	0	340	15	24346	0	340	10	24351	1	406	14	24280	0	407	10	24284
11	1	88	183	24429	0	76	62	24563	1	75	121	24504	0	13	62	24626	0	13	122	24566
12	4	272	114	24311	0	97	82	24522	2	95	34	24570	1	178	81	24441	1	178	35	24487
13	1	94	89	24517	1	13	65	24622	0	14	24	24663	0	81	66	24554	0	81	24	24596
14	1	100	406	24194	0	53	224	24424	0	53	183	24465	0	48	224	24429	1	47	182	24471
15	24	190	1368	23119	9	41	828	23823	0	50	555	24096	11	154	826	23710	4	161	551	23985
16	214	217	9715	14555	61	139	5120	19381	29	171	4719	19782	101	133	5080	19387	26	208	4722	19745
17	12	46	2681	21962	3	22	1547	23129	1	24	1142	23534	6	27	1544	23124	2	31	1141	23527
18	8	921	97	23675	0	188	88	24425	1	187	16	24497	7	738	81	23875	0	745	17	23939
19	20	2944	70	21667	1	995	55	23650	1	995	33	23672	18	2026	38	22619	1	2043	33	22624
20	2	17	1026	23656	1	18	595	24087	1	18	431	24251	0	0	596	24105	0	0	432	24269
21	26	250	1854	22571	2	95	943	23661	3	94	932	23672	17	162	928	23594	4	175	931	23591
22	1	558	51	24091	0	74	43	24584	0	74	9	24618	1	484	42	24174	0	485	9	24207
23	2	54	1272	23373	1	37	747	23916	0	38	526	24137	1	17	747	23936	0	18	526	24157
24	1	340	1	24359	0	70	2	24629	0	70	0	24631	1	270	1	24429	0	271	0	24430
25	1	31	405	24264	0	5	193	24503	0	5	213	24483	0	27	193	24481	1	26	212	24462
26	1	437	5	24258	0	92	6	24603	0	92	0	24609	1	345	5	24350	0	346	0	24355
27	4	42	1146	23509	0	7	639	24055	0	7	511	24183	2	37	637	24025	2	37	509	24153
28	44	381	1916	22360	2	88	978	23633	5	85	975	23636	9	327	971	23394	29	307	951	23414
29	1	437	57	24206	0	92	2	24607	0	92	56	24553	0	346	2	24353	1	345	55	24300
30	3	556	23	24119	0	74	25	24602	0	74	1	24626	3	482	22	24194	0	485	1	24215
31	3	1824	3	22871	0	376	6	24319	0	376	0	24325	3	1462	3	23233	0	1465	0	23236
32	22	16	7729	16934	12	12	4126	20551	3	21	3610	21067	5	9	4133	20554	2	12	3611	21076
33	65	6499	145	17992	20	2277	120	22284	7	2290	63	22341	25	4487	115	20074	15	4497	55	20134
34	2	54	997	23648	1	37	559	24104	0	38	439	24224	1	17	559	24124	0	18	439	24244
35	6	208	434	24053	1	49	263	24388	0	50	176	24475	5	160	259	24277	0	165	176	24360
36	68	342	2976	21315	12	145	1804	22740	8	149	1220	23324	31	223	1785	22662	17	237	1211	23236
37	16	51	3805	20829	1	8	1820	22872	0	9	2000	22692	12	46	1809	22834	3	55	1997	22646
38	15	52	4142	20492	0	9	2316	22376	2	7	1839	22853	10	48	2306	22337	3	55	1838	22805
39	1	437	1	24262	0	92	2	24607	0	92	0	24609	1	345	1	24354	0	346	0	24355
40	114	317	5120	19150	26	174	2767	21734	14	186	2427	22074	52	182	2741	21726	24	210	2417	22050
41	125	2839	762	20975	26	970	479	23226	12	984	370	23335	55	1989	450	22207	35	2009	347	22310
42	4	54	705	23938	2	23	422	24254	0	25	285	24391	1	32	423	24245	1	32	284	24384
