	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	1	716	10	23974	0	174	10	24517	0	174	1	24526	1	542	9	24149	0	543	1	24157
1	11	1028	341	23321	4	672	256	23769	1	675	91	23934	5	372	255	24069	1	376	91	24233
2	1	60	1	24639	0	28	2	24671	0	28	0	24673	1	32	1	24667	0	33	0	24668
3	5	1871	26	22799	2	700	22	23977	0	702	7	23992	3	1199	21	23478	0	1202	7	23492
4	12	705	208	23776	1	173	151	24376	0	174	68	24459	10	533	142	24016	1	542	67	24091
5	3	3507	25	21166	0	1129	10	23562	1	1128	17	23555	1	2454	9	22237	1	2454	17	22229
6	1	46	148	24506	1	39	72	24589	0	40	76	24585	0	7	73	24621	0	7	76	24618
7	99	1314	1496	21792	10	473	431	23787	16	467	1138	23080	36	899	405	23361	38	897	1116	22650
8	3	58	651	23989	0	28	341	24332	0	28	313	24360	2	31	339	24329	1	32	312	24356
9	21	2648	76	21956	5	772	66	23858	0	777	26	23898	14	1908	57	22722	2	1920	24	22755
10	2	1037	23	23639	0	676	15	24010	0	676	10	24015	1	376	14	24310	1	376	9	24315
11	18	173	1380	23130	1	41	842	23817	1	41	554	24105	12	137	831	23721	4	145	551	24001
12	9	1166	175	23351	0	481	62	24158	1	480	121	24099	3	702	59	23937	5	700	117	23879
13	1	22	814	23864	0	8	484	24209	0	8	331	24362	1	14	483	24203	0	15	331	24355
14	49	785	1484	22383	4	160	660	23877	8	156	861	23676	26	645	638	23392	11	660	858	23172
15	1	60	89	24551	0	28	66	24607	0	28	24	24649	1	32	65	24603	0	33	24	24644
16	374	2131	2319	19877	154	1282	1396	21869	53	1383	1090	22175	110	1004	1440	22147	65	1049	1078	22509
17	34	6436	71	18160	5	987	83	23626	2	990	15	23694	23	5564	65	19049	4	5583	13	19101
18	15	1861	75	22750	2	700	54	23945	0	702	34	23965	11	1191	45	23454	2	1200	32	23467
19	12	108	1868	22713	0	33	945	23723	0	33	935	23733	5	82	940	23674	7	80	928	23686
20	2	640	50	24009	0	129	43	24529	0	129	9	24563	2	512	41	24146	0	514	9	24178
21	51	3459	292	20899	7	1122	153	23419	12	1117	171	23401	21	2434	139	22107	11	2444	172	22074
22	1	22	159	24519	0	8	129	24564	0	8	31	24662	1	14	128	24558	0	15	31	24655
23	4	3506	8	21183	1	1128	5	23567	0	1129	6	23566	3	2452	3	22243	0	2455	6	22240
24	1	1576	18	23106	1	980	13	23707	0	981	5	23715	0	608	14	24079	0	608	5	24088
25	1	2096	5	22599	0	419	6	24276	0	419	0	24282	1	1685	5	23010	0	1686	0	23015
26	142	1271	1818	21470	7	476	973	23245	30	453	950	23268	39	896	941	22825	67	868	913	22853
27	6	2091	52	22552	0	419	2	24280	0	419	56	24226	0	1686	2	23013	6	1680	50	22965
28	1	641	25	24034	0	129	25	24547	0	129	1	24571	1	513	24	24163	0	514	1	24186
29	93	954	1242	22412	42	411	714	23534	2	451	577	23671	34	563	722	23382	15	582	564	23540
30	2	715	4	23980	0	174	6	24521	0	174	0	24527	2	541	4	24154	0	543	0	24158
31	1	22	329	24349	0	8	173	24520	0	8	157	24536	0	15	173	24513	1	14	156	24530
32	1	8	475	24217	0	5	286	24410	0	5	190	24506	0	4	286	24411	1	3	189	24508
33	1	2096	1	22603	0	419	2	24280	0	419	0	24282	1	1685	1	23014	0	1686	0	23015
34	143	3367	700	20491	26	1103	409	23163	16	1113	392	23180	48	2407	387	21859	55	2400	353	21893
35	1	25	749	23926	1	17	314	24369	0	18	435	24248	0	8	315	24378	0	8	435	24258
36	72	1804	815	22010	13	689	492	23507	5	697	377	23622	30	1172	475	23024	24	1178	358	23141
37	103	2402	606	21590	36	1400	388	22877	8	1428	277	22988	52	1062	372	23215	10	1104	275	23312
38	50	1527	716	22408	19	962	341	23379	8	973	398	23322	12	596	348	23745	12	596	394	23699
