lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000257219_ASO_G0257219_AD_10	RP11-54A9.1	717	543	174	11	1	10	1	0	0	1	0
ENSG00000234546_ASO_G0234546_07	RP3-510D11.2	1039	377	676	352	92	260	11	4	1	5	1
ENSG00000256268_ASO_G0256268_AD_03	RP11-221N13.3	61	33	28	2	0	2	1	0	0	1	0
ENSG00000212978_ASO_G0212978_01	AC016747.3	1876	1202	702	31	7	24	5	2	0	3	0
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	717	543	174	220	68	152	12	1	0	10	1
ENSG00000240875_ASO_G0240875_10	LINC00886	3510	2455	1129	28	18	10	3	0	1	1	1
ENSG00000226950_ASO_G0226950_04	DANCR	47	7	40	149	76	73	1	1	0	0	0
ENSG00000214548_ASO_G0214548_01	MEG3	1413	935	483	1595	1154	441	99	10	16	36	38
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	61	33	28	654	313	341	3	0	0	2	1
ENSG00000229647_ASO_G0229647_06	AC007879.7	2669	1922	777	97	26	71	21	5	0	14	2
ENSG00000234546_ASO_G0234546_02	RP3-510D11.2	1039	377	676	25	10	15	2	0	0	1	1
ENSG00000246430_ASO_G0246430_03	LINC00968	191	149	42	1398	555	843	18	1	1	12	4
ENSG00000273015_ASO_G0273015_05	LINC00938	1175	705	481	184	122	62	9	0	1	3	5
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	23	15	8	815	331	484	1	0	0	1	0
ENSG00000233117_ASO_G0233117_02	LINC00702	834	671	164	1533	869	664	49	4	8	26	11
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	61	33	28	90	24	66	1	0	0	1	0
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	2505	1114	1436	2693	1143	1550	374	154	53	110	65
ENSG00000205181_ASO_G0205181_01	LINC00654	6470	5587	992	105	17	88	34	5	2	23	4
ENSG00000212978_ASO_G0212978_02	AC016747.3	1876	1202	702	90	34	56	15	2	0	11	2
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	120	87	33	1880	935	945	12	0	0	5	7
ENSG00000234456_ASO_G0234456_04	MAGI2-AS3	642	514	129	52	9	43	2	0	0	2	0
ENSG00000240875_ASO_G0240875_02	LINC00886	3510	2455	1129	343	183	160	51	7	12	21	11
ENSG00000225733_ASO_G0225733_AD_06	FGD5-AS1	23	15	8	160	31	129	1	0	0	1	0
ENSG00000240875_ASO_G0240875_04	LINC00886	3510	2455	1129	12	6	6	4	1	0	3	0
ENSG00000221817_ASO_G0221817_AD_08	RP11-137L10.6	1577	608	981	19	5	14	1	1	0	0	0
ENSG00000237187_ASO_G0237187_03	NR2F1-AS1	2097	1686	419	6	0	6	1	0	0	1	0
ENSG00000214548_ASO_G0214548_AD_09	MEG3	1413	935	483	1960	980	980	142	7	30	39	67
ENSG00000237187_ASO_G0237187_AD_08	NR2F1-AS1	2097	1686	419	58	56	2	6	0	0	0	6
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	642	514	129	26	1	25	1	0	0	1	0
ENSG00000215039_ASO_G0215039_01	CD27-AS1	1047	597	453	1335	579	756	93	42	2	34	15
ENSG00000257219_ASO_G0257219_09	RP11-54A9.1	717	543	174	6	0	6	2	0	0	2	0
ENSG00000225733_ASO_G0225733_04	FGD5-AS1	23	15	8	330	157	173	1	0	0	0	1
ENSG00000246985_ASO_G0246985_10	SOCS2-AS1	9	4	5	476	190	286	1	0	0	0	1
ENSG00000237187_ASO_G0237187_AD_01	NR2F1-AS1	2097	1686	419	2	0	2	1	0	0	1	0
ENSG00000240875_ASO_G0240875_03	LINC00886	3510	2455	1129	843	408	435	143	26	16	48	55
ENSG00000254682_ASO_G0254682_02	RP11-660L16.2	26	8	18	750	435	315	1	1	0	0	0
ENSG00000212978_ASO_G0212978_03	AC016747.3	1876	1202	702	887	382	505	72	13	5	30	24
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	2505	1114	1436	709	285	424	103	36	8	52	10
ENSG00000221817_ASO_G0221817_04	RP11-137L10.6	1577	608	981	766	406	360	50	19	8	12	12
