lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000257219_ASO_G0257219_AD_10	RP11-54A9.1	1696	1190	528	11	1	10	2	1	0	1	0
ENSG00000245937_ASO_G0245937_01	CTC-228N24.3	277	125	152	43	6	37	1	0	0	1	0
ENSG00000260032_ASO_G0260032_AD_01	LINC00657	743	247	497	884	379	505	37	15	10	8	4
ENSG00000212978_ASO_G0212978_01	AC016747.3	338	98	242	31	7	24	1	1	0	0	0
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	1696	1190	528	220	68	152	31	6	6	12	7
ENSG00000240875_ASO_G0240875_10	LINC00886	2451	1417	1087	28	18	10	4	0	2	1	2
ENSG00000230590_ASO_G0230590_AD_02	FTX	70	28	42	581	119	462	5	2	1	2	0
ENSG00000245937_ASO_G0245937_AD_05	CTC-228N24.3	277	125	152	46	25	21	1	0	0	1	0
ENSG00000253161_ASO_C013368_01	RP11-150O12.1	103	54	49	118	36	82	2	0	0	1	1
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	1214	535	694	815	331	484	69	33	11	25	1
ENSG00000233117_ASO_G0233117_02	LINC00702	2015	1008	1037	1533	869	664	169	61	35	56	20
ENSG00000212978_ASO_G0212978_02	AC016747.3	338	98	242	90	34	56	1	0	0	1	0
ENSG00000245937_ASO_G0245937_AD_02	CTC-228N24.3	277	125	152	1	0	1	1	0	0	1	0
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	103	54	49	1880	935	945	16	4	4	3	5
ENSG00000234456_ASO_G0234456_04	MAGI2-AS3	288	172	116	52	9	43	1	0	0	1	0
ENSG00000240875_ASO_G0240875_02	LINC00886	2451	1417	1087	343	183	160	56	18	12	17	9
ENSG00000233117_ASO_G0233117_04	LINC00702	2015	1008	1037	5	1	4	1	0	0	1	0
ENSG00000225733_ASO_G0225733_AD_06	FGD5-AS1	1214	535	694	160	31	129	19	5	1	11	2
ENSG00000260032_ASO_G0260032_AD_06	LINC00657	743	247	497	406	213	193	11	4	0	5	2
ENSG00000240875_ASO_G0240875_04	LINC00886	2451	1417	1087	12	6	6	3	1	0	2	0
ENSG00000237187_ASO_G0237187_03	NR2F1-AS1	2295	1348	978	6	0	6	1	0	0	1	0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	437	94	343	1150	511	639	25	10	4	8	3
ENSG00000227036_ASO_G0227036_04	LINC00511	534	346	191	680	429	251	22	6	5	8	3
ENSG00000237187_ASO_G0237187_AD_08	NR2F1-AS1	2295	1348	978	58	56	2	2	0	0	0	2
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	288	172	116	26	1	25	1	0	0	1	0
ENSG00000246067_ASO_G0246067_AD_06	RAB30-AS1	5	1	4	8966	4597	4369	4	3	0	1	0
ENSG00000257219_ASO_G0257219_09	RP11-54A9.1	1696	1190	528	6	0	6	3	1	0	3	0
ENSG00000233396_ASO_G0233396_07	RP11-458D21.1	4	1	3	7751	3613	4138	2	1	1	0	0
ENSG00000204054_ASO_G0204054_06	LINC00963	1225	544	693	977	417	560	75	40	12	17	7
ENSG00000204054_ASO_G0204054_01	LINC00963	1225	544	693	2	0	2	1	0	0	1	0
ENSG00000225733_ASO_G0225733_04	FGD5-AS1	1214	535	694	330	157	173	22	4	5	10	4
ENSG00000237187_ASO_G0237187_AD_01	NR2F1-AS1	2295	1348	978	2	0	2	2	0	0	2	0
ENSG00000240875_ASO_G0240875_03	LINC00886	2451	1417	1087	843	408	435	134	30	22	36	50
ENSG00000212978_ASO_G0212978_03	AC016747.3	338	98	242	887	382	505	26	13	7	3	3
ENSG00000246273_ASO_G0246273_02	SBF2-AS1	387	173	215	1176	505	671	35	17	3	9	6
ENSG00000221817_ASO_G0221817_04	RP11-137L10.6	39	11	28	766	406	360	3	0	0	3	0
