	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	2	4333	9	20357	1	3619	9	21072	0	3620	1	21080	1	896	9	23795	0	897	1	23803
1	2331	14065	584	7721	1037	12226	519	10919	909	12354	450	10988	515	7041	1041	16104	645	6911	714	16431
2	4	1001	39	23657	4	852	33	23812	0	856	6	23839	0	153	37	24511	0	153	6	24542
3	13	20296	1	4391	8	12231	6	12456	0	12239	0	12462	12	17138	2	7549	0	17150	0	7551
4	74	1698	810	22119	39	1404	466	22792	18	1425	361	22897	9	343	496	23853	8	344	371	23978
5	2	19313	0	5386	2	16720	0	7979	0	16722	0	7979	2	9910	0	14789	0	9912	0	14789
6	8	2971	23	21699	7	2653	17	22024	0	2660	7	22034	1	369	23	24308	0	370	7	24324
7	55	4280	165	20201	25	3595	127	20954	12	3608	56	21025	13	884	139	23665	9	888	59	23745
8	11	943	104	23643	8	764	101	23828	2	770	4	23925	1	183	108	24409	0	184	6	24511
9	1	72	148	24480	1	69	72	24559	0	70	76	24555	0	3	73	24625	0	3	76	24622
10	49	497	1546	22609	0	43	441	24217	2	41	1152	23506	27	478	414	23782	21	484	1133	23063
11	1	18	2	24680	0	13	2	24686	0	13	1	24687	1	5	1	24694	0	6	1	24694
12	1	14452	2	10246	1	11751	1	12948	0	11752	1	12948	0	5567	2	19132	0	5567	1	19133
13	1	15	40	24645	0	0	30	24671	0	0	11	24690	1	15	29	24656	0	16	11	24674
14	7	18085	1	6608	7	13287	1	11406	0	13294	0	11407	5	11536	3	13157	0	11541	0	13160
15	82	5739	157	18723	16	2233	118	22334	19	2230	86	22366	44	3818	90	20749	10	3852	95	20744
16	1	686	14	24000	1	584	10	24106	0	585	4	24112	0	105	11	24585	0	105	4	24592
17	1	50	0	24650	0	0	1	24700	0	0	0	24701	1	50	0	24650	0	51	0	24650
18	567	18748	87	5299	268	16454	73	7906	255	16467	58	7921	169	9743	172	14617	154	9758	159	14630
19	81	14166	16	10438	65	13044	6	11586	13	13096	13	11579	15	2870	56	21760	3	2882	23	21793
20	56	727	1342	22576	3	96	840	23762	2	97	553	24049	33	653	810	23205	18	668	537	23478
21	1	1004	45	23651	1	855	20	23825	0	856	25	23820	0	153	21	24527	0	153	25	24523
22	76	13036	42	11547	51	11943	31	12676	17	11977	19	12688	13	2609	69	22010	7	2615	29	22050
23	117	2076	787	21721	107	1919	698	21977	7	2019	92	22583	3	176	802	23720	1	178	98	24424
