lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000204054_ASO_G0204054_06	LINC00963	1678	742	967	977	417	560	110	51	15	35	16
ENSG00000231312_ASO_G0231312_02	AC007246.3	808	84	726	611	228	383	33	26	5	1	1
ENSG00000225733_ASO_G0225733_04	FGD5-AS1	4918	2229	3099	330	157	173	92	32	21	22	24
ENSG00000226950_ASO_G0226950_AD_07	DANCR	85	20	65	93	18	75	1	1	0	0	0
ENSG00000237187_ASO_G0237187_AD_01	NR2F1-AS1	11056	6223	7285	2	0	2	2	0	0	2	0
ENSG00000240875_ASO_G0240875_03	LINC00886	8990	4452	6065	843	408	435	407	151	110	104	118
ENSG00000254682_ASO_G0254682_02	RP11-660L16.2	3131	1089	2147	750	435	315	138	71	27	21	25
ENSG00000212978_ASO_G0212978_03	AC016747.3	6694	2550	5006	887	382	505	330	166	88	79	45
ENSG00000246273_ASO_G0246273_02	SBF2-AS1	2943	553	2474	1176	505	671	249	166	51	28	12
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	74	8	66	709	285	424	4	3	1	0	0
ENSG00000240875_ASO_G0240875_01	LINC00886	8990	4452	6065	6	4	2	1	0	1	0	0
