lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000245937_ASO_G0245937_01	CTC-228N24.3	1452	413	1057	43	6	37	8	6	0	2	0
ENSG00000260032_ASO_G0260032_AD_01	LINC00657	4374	1681	3005	884	379	505	184	85	43	42	22
ENSG00000234546_ASO_G0234546_07	RP3-510D11.2	1537	58	1484	352	92	260	29	13	16	0	0
ENSG00000256268_ASO_G0256268_AD_03	RP11-221N13.3	4399	2801	1905	2	0	2	2	0	0	2	0
ENSG00000269834_ASO_G0269834_AD_06	CTD-3018O17.3	2762	988	1806	70	34	36	9	2	2	3	2
ENSG00000244625_ASO_G0244625_AD_09	CTA-211A9.5	77	11	67	106	26	80	2	1	1	0	0
ENSG00000212978_ASO_G0212978_01	AC016747.3	6694	2550	5006	31	7	24	17	16	0	5	1
ENSG00000240875_ASO_G0240875_10	LINC00886	8990	4452	6065	28	18	10	14	4	6	1	5
ENSG00000253352_ASO_G0253352_AD_07	TUG1	837	206	635	115	6	109	5	4	0	1	0
ENSG00000226950_ASO_G0226950_04	DANCR	85	20	65	149	76	73	1	0	1	0	0
ENSG00000269834_ASO_G0269834_02	CTD-3018O17.3	2762	988	1806	78	16	62	12	5	0	6	1
ENSG00000227036_ASO_G0227036_AD_07	LINC00511	3964	1412	2772	2	1	1	1	1	0	0	0
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	4399	2801	1905	654	313	341	158	36	26	55	53
ENSG00000234546_ASO_G0234546_02	RP3-510D11.2	1537	58	1484	25	10	15	1	1	0	0	0
ENSG00000245937_ASO_G0245937_AD_05	CTC-228N24.3	1452	413	1057	46	25	21	4	1	2	0	1
ENSG00000253161_ASO_C013368_01	RP11-150O12.1	4987	3022	2329	118	36	82	27	7	3	12	6
ENSG00000246067_ASO_G0246067_AD_09	RAB30-AS1	3561	2762	855	904	99	805	149	41	2	91	16
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	4918	2229	3099	815	331	484	272	125	52	103	22
ENSG00000233117_ASO_G0233117_02	LINC00702	10576	5970	6822	1533	869	664	798	295	249	342	133
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	4399	2801	1905	90	24	66	26	8	0	16	5
ENSG00000223478_ASO_G0223478_03	RP11-545E17.3	6083	1883	4533	407	183	224	124	71	21	25	18
ENSG00000225791_ASO_G0225791_05	TRAM2-AS1	1556	644	935	3	0	3	1	0	0	1	0
ENSG00000203721_ASO_G0203721_02	LINC00862	2	2	0	3051	1443	1608	2	0	0	2	0
ENSG00000250786_ASO_G0250786_AD_10	SNHG18	5176	2904	2622	21	2	19	4	2	0	1	1
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	74	8	66	2693	1143	1550	11	8	1	2	0
ENSG00000212978_ASO_G0212978_02	AC016747.3	6694	2550	5006	90	34	56	34	15	8	12	6
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	4987	3022	2329	1880	935	945	536	147	98	187	158
ENSG00000234456_ASO_G0234456_04	MAGI2-AS3	3300	1883	1542	52	9	43	14	2	1	10	1
ENSG00000254682_ASO_G0254682_06	RP11-660L16.2	3131	1089	2147	184	46	138	32	20	4	8	2
ENSG00000226950_ASO_G0226950_05	DANCR	85	20	65	108	47	61	1	0	0	1	0
ENSG00000240875_ASO_G0240875_02	LINC00886	8990	4452	6065	343	183	160	163	64	41	59	36
ENSG00000246067_ASO_G0246067_AD_04	RAB30-AS1	3561	2762	855	3	0	3	1	1	0	0	0
ENSG00000233117_ASO_G0233117_04	LINC00702	10576	5970	6822	5	1	4	2	1	0	2	0
ENSG00000225733_ASO_G0225733_AD_06	FGD5-AS1	4918	2229	3099	160	31	129	57	26	2	34	3
ENSG00000269834_ASO_G0269834_AD_02	CTD-3018O17.3	2762	988	1806	95	41	54	14	3	7	1	3
ENSG00000270069_ASO_G0270069_05	RP6-99M1.2	5584	3339	2633	2	0	2	2	0	0	2	0
ENSG00000260032_ASO_G0260032_AD_06	LINC00657	4374	1681	3005	406	213	193	64	26	17	14	12
ENSG00000240875_ASO_G0240875_04	LINC00886	8990	4452	6065	12	6	6	5	1	3	1	0
ENSG00000237187_ASO_G0237187_03	NR2F1-AS1	11056	6223	7285	6	0	6	4	3	0	2	0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	3701	2163	1701	1150	511	639	287	61	31	177	36
ENSG00000227036_ASO_G0227036_04	LINC00511	3964	1412	2772	680	429	251	153	70	53	25	9
ENSG00000237187_ASO_G0237187_AD_08	NR2F1-AS1	11056	6223	7285	58	56	2	11	0	5	0	7
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	3300	1883	1542	26	1	25	6	2	0	3	1
ENSG00000225439_ASO_G0225439_06	BOLA3-AS1	200	78	122	1715	829	886	16	10	3	3	0
ENSG00000246067_ASO_G0246067_AD_06	RAB30-AS1	3561	2762	855	8966	4597	4369	1704	345	69	623	697
ENSG00000215039_ASO_G0215039_01	CD27-AS1	5	1	4	1335	579	756	1	1	0	0	0
ENSG00000225733_ASO_G0225733_03	FGD5-AS1	4918	2229	3099	14	0	14	2	2	0	0	0
ENSG00000251580_ASO_G0251580_AD_05	RP11-539L10.3	38	2	36	210	70	140	4	4	0	0	0
ENSG00000246067_ASO_G0246067_05	RAB30-AS1	3561	2762	855	5	0	5	1	0	0	1	0
