	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	8	1444	35	23214	6	1051	31	23613	0	1057	6	23638	2	411	35	24253	0	413	6	24282
1	184	4190	700	19627	85	2920	420	21276	43	2962	336	21360	42	1639	463	22557	22	1659	357	22663
2	29	1508	323	22841	13	1471	247	22970	16	1468	76	23141	0	58	260	24383	0	58	92	24551
3	2	4397	0	20302	0	1905	2	22794	0	1905	0	22796	2	2799	0	21900	0	2801	0	21900
4	9	2753	61	21878	2	1804	34	22861	2	1804	32	22863	3	985	33	23680	2	986	32	23681
5	2	75	104	24520	1	66	79	24555	1	66	25	24609	0	11	80	24610	0	11	26	24664
6	17	6677	14	17993	16	4990	8	19687	0	5006	7	19688	5	2545	19	22132	1	2549	6	22145
7	14	8976	14	15697	4	6061	6	18630	6	6059	12	18624	1	4451	9	20240	5	4447	13	20236
8	5	832	110	23754	4	631	105	23961	0	635	6	24060	1	205	108	24387	0	206	6	24489
9	1	84	148	24468	0	65	73	24563	1	64	75	24561	0	20	73	24608	0	20	76	24605
10	12	2750	66	21873	5	1801	57	22838	0	1806	16	22879	6	982	56	23657	1	987	15	23698
11	1	3963	1	20736	1	2771	0	21929	0	2772	1	21928	0	1412	1	23288	0	1412	1	23288
12	158	4241	496	19806	36	1869	305	22491	26	1879	287	22509	55	2746	286	21614	53	2748	260	21640
13	1	1536	24	23140	1	1483	14	23203	0	1484	10	23207	0	58	15	24628	0	58	10	24633
14	4	1448	42	23207	1	1056	20	23624	2	1055	23	23621	0	413	21	24267	1	412	24	24264
15	27	4960	91	19623	7	2322	75	22297	3	2326	33	22339	12	3010	70	21609	6	3016	30	21649
16	149	3412	755	20385	41	814	764	23082	2	853	97	23749	91	2671	714	21225	16	2746	83	21856
17	272	4646	543	19240	125	2974	359	21243	52	3047	279	21323	103	2126	381	22091	22	2207	309	22163
18	798	9778	735	13390	295	6527	369	17510	249	6573	620	17259	342	5628	322	18409	133	5837	736	17995
19	26	4373	64	20238	8	1897	58	22738	0	1905	24	22772	16	2785	50	21850	5	2796	19	21881
20	124	5959	283	18335	71	4462	153	20015	21	4512	162	20006	25	1858	199	22619	18	1865	165	22653
21	1	1555	2	23143	0	935	3	23763	0	935	0	23766	1	643	2	24055	0	644	0	24057
22	2	0	3049	21650	0	0	1608	23093	0	0	1443	23258	2	0	1606	23093	0	2	1443	23256
23	4	5172	17	19508	2	2620	17	22062	0	2622	2	22077	1	2903	18	21779	1	2903	1	21796
24	11	63	2682	21945	8	58	1542	23093	1	65	1142	23493	2	6	1548	23145	0	8	1143	23550
25	34	6660	56	17951	15	4991	41	19654	8	4998	26	19669	12	2538	44	22107	6	2544	28	22123
26	536	4451	1344	18370	147	2182	798	21574	98	2231	837	21535	187	2835	758	20921	158	2864	777	20902
27	14	3286	38	21363	2	1540	41	23118	1	1541	8	23151	10	1873	33	22785	1	1882	8	22810
28	32	3099	152	21418	20	2127	118	22436	4	2143	42	22512	8	1081	130	23482	2	1087	44	23568
29	1	84	107	24509	0	65	61	24575	0	65	47	24589	1	19	60	24621	0	20	47	24634
30	163	8827	180	15531	64	6001	96	18540	41	6024	142	18494	59	4393	101	20148	36	4416	147	20102
31	1	3560	2	21138	1	854	2	23844	0	855	0	23846	0	2762	3	21936	0	2762	0	21939
32	2	10574	3	14122	1	6821	3	17876	0	6822	1	17878	2	5968	2	18729	0	5970	1	18730
33	57	4861	103	19680	26	3073	103	21499	2	3097	29	21573	34	2195	95	22377	3	2226	28	22444
34	14	2748	81	21858	3	1803	51	22844	7	1799	34	22861	1	987	53	23660	3	985	38	23675
35	2	5582	0	19117	0	2633	2	22066	0	2633	0	22068	2	3337	0	21362	0	3339	0	21362
36	64	4310	342	19985	26	2979	167	21529	17	2988	196	21500	14	1667	179	22841	12	1669	201	22819
37	5	8985	7	15704	1	6064	5	18631	3	6062	3	18633	1	4451	5	20244	0	4452	6	20243
38	4	11052	2	13643	3	7282	3	17413	0	7285	0	17416	2	6221	4	18474	0	6223	0	18478
39	287	3414	863	20137	61	1640	578	22422	31	1670	480	22520	177	1986	462	22076	36	2127	475	22063
40	153	3811	527	20210	70	2702	181	21748	53	2719	376	21553	25	1387	226	23063	9	1403	420	22869
41	11	11045	47	13598	0	7285	2	17414	5	7280	51	17365	0	6223	2	18476	7	6216	49	18429
42	6	3294	20	21381	2	1540	23	23136	0	1542	1	23158	3	1880	22	22796	1	1882	0	22818
43	16	184	1699	22802	10	112	876	23703	3	119	826	23753	3	75	883	23740	0	78	829	23794
44	1704	1857	7262	13878	345	510	4024	19822	69	786	4528	19318	623	2139	3746	18193	697	2065	3900	18039
45	1	4	1334	23362	1	3	755	23942	0	4	579	24118	0	1	756	23944	0	1	579	24121
46	2	4916	12	19771	2	3097	12	21590	0	3099	0	21602	0	2229	14	22458	0	2229	0	22472
47	4	34	206	24457	4	32	136	24529	0	36	70	24595	0	2	140	24559	0	2	70	24629
48	1	3560	4	21136	0	855	5	23841	0	855	0	23846	1	2761	4	21935	0	2762	0	21939
49	110	1568	867	22156	51	916	509	23225	15	952	402	23332	35	707	525	23434	16	726	401	23558
50	33	775	578	23315	26	700	357	23618	5	721	223	23752	1	83	382	24235	1	83	227	24390
51	92	4826	238	19545	32	3067	141	21461	21	3078	136	21466	22	2207	151	22321	24	2205	133	22339
52	1	84	92	24524	1	64	74	24562	0	65	18	24618	0	20	75	24606	0	20	18	24663
53	2	11054	0	13645	0	7285	2	17414	0	7285	0	17416	2	6221	0	18478	0	6223	0	18478
54	407	8583	436	15275	151	5914	284	18352	110	5955	298	18338	104	4348	331	19918	118	4334	290	19959
55	138	2993	612	20958	71	2076	244	22310	27	2120	408	22146	21	1068	294	23318	25	1064	410	23202
56	330	6364	557	17450	166	4840	339	19356	88	4918	294	19401	79	2471	426	21725	45	2505	337	21814
57	249	2694	927	20831	166	2308	505	21722	51	2423	454	21773	28	525	643	23505	12	541	493	23655
58	4	70	705	23922	3	63	421	24214	1	65	284	24351	0	8	424	24269	0	8	285	24408
59	1	8989	5	15706	0	6065	2	18634	1	6064	3	18633	0	4452	2	20247	0	4452	4	20245
