lncRNAName	H3K27ac-wa	H3K27ac-ea	H3K27ac-wr	H3K27ac-er	H3K36me3-wa	H3K36me3-ea	H3K36me3-wr	H3K36me3-er	H3K4me1-wa	H3K4me1-ea	H3K4me1-wr	H3K4me1-er	H3K4me2-wa	H3K4me2-ea	H3K4me2-wr	H3K4me2-er	H3K4me3-wa	H3K4me3-ea	H3K4me3-wr	H3K4me3-er	H3K79me2-wa	H3K79me2-ea	H3K79me2-wr	H3K79me2-er	H3K9ac-wa	H3K9ac-ea	H3K9ac-wr	H3K9ac-er	H3K9me3-wa	H3K9me3-ea	H3K9me3-wr	H3K9me3-er	H4K20me1-wa	H4K20me1-ea	H4K20me1-wr	H4K20me1-er	H3K27me3-wa	H3K27me3-ea	H3K27me3-wr	H3K27me3-er	Methylation-wa	Methylation-ea	Methylation-wr	Methylation-er
LINC00886_ASO_G0240875_02	0.4110224070931897	3.2001893113176796	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.78864835098925	4.084856715015171	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.266900609846585	2.745295793264395	-0.0	0.07595079221422307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00886_ASO_G0240875_03	0.31762780593357476	1.5004084396686808	-0.0	0.41558048266774633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.000996519810943	5.092802466284962	5.962720342225757	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0728465834306684	1.1148943725330884	4.795594666625233	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00886_ASO_G0240875_10	-0.0	1.0969190838365963	1.7080410878902252	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00938_ASO_G0273015_05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.896576735559322	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0
LINC00963_ASO_G0204054_06	3.0133815896809444	7.10495940834507	-0.0	0.5230619274069787	0.0	0.0	0.0	0.0	3.6068270024950473	1.2297070593681403	-0.0	-0.0	3.4526123526840826	6.749486241720674	0.03846526525792401	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5872873122017733	5.852886688009769	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00968_ASO_G0246430_03	1.2409845953155885	41.65287938563717	-0.0	0.895034567772091	0.0	0.0	0.0	0.0	2.615084617662033	1.8080314723661268	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6510028212221148	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00968_ASO_G0246430_AD_03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4427544858701984	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAGI2-AS3_ASO_G0234456_01	0.0	0.0	0.0	0.0	1.3469608853224904	-0.0	-0.0	-0.0	1.5653472462705773	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAGI2-AS3_ASO_G0234456_04	4.0283414124574195	-0.0	-0.0	0.3030074471417465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1403797034392817	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8450507347468301	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAPKAPK5-AS1_ASO_G0234608_06	0.6639732596818431	2.180965071008683	-0.0	-0.0	1.1662479600127797	2.758015224946242	-0.0	-0.0	5.84750695390076	77.72576724977624	0.4392993841672726	-0.0	0.0	0.0	0.0	0.0	4.348453249274013	23.418487331425947	0.7217203008002476	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.111604458911218	14.346648443841085	-0.0	-0.0	0.0	0.0	0.0	0.0	2.304484873193768	30.736333292949546	0.3699007573052241	-0.0	0.0	0.0	0.0	0.0
