lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000212978_ASO_G0212978_03	AC016747.3	4277	2161	2327	887	382	505	207	93	34	56	36
ENSG00000212978_ASO_G0212978_02	AC016747.3	4277	2161	2327	90	34	56	25	14	3	5	5
ENSG00000253982_ASO_G0253982_AD_01	CTD-2336O2.1	1147	156	999	2	0	2	1	1	0	0	0
ENSG00000273015_ASO_G0273015_AD_07	LINC00938	336	170	166	6	0	6	1	1	0	0	0
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	6402	4546	2236	1392	555	837	472	189	44	196	85
ENSG00000237187_ASO_G0237187_AD_08	NR2F1-AS1	609	78	531	58	56	2	1	0	1	0	0
ENSG00000234546_ASO_G0234546_07	RP3-510D11.2	2164	1222	982	352	92	260	35	9	2	22	3
ENSG00000215039_ASO_G0215039_01	CD27-AS1	18	4	14	1335	579	756	1	1	0	0	0
ENSG00000234546_ASO_G0234546_02	RP3-510D11.2	2164	1222	982	25	10	15	4	2	0	1	1
ENSG00000240875_ASO_G0240875_02	LINC00886	36	8	28	343	183	160	1	0	0	0	1
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	91	45	46	815	331	484	3	1	1	1	0
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	3067	822	2304	1880	935	945	291	118	116	29	30
ENSG00000223485_ASO_G0223485_AD_04	RP11-417E7.1	60	19	41	4157	1841	2316	9	2	4	1	2
ENSG00000257219_ASO_G0257219_AD_10	RP11-54A9.1	2018	1042	1013	11	1	10	3	1	1	1	0
ENSG00000234608_ASO_G0234608_AD_01	MAPKAPK5-AS1	6402	4546	2236	239	105	134	65	16	6	18	28
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	297	93	206	26	1	25	2	2	0	0	0
ENSG00000231185_ASO_G0231185_02	AC005592.2	4	2	2	999	439	560	1	0	1	0	0
ENSG00000257219_ASO_G0257219_09	RP11-54A9.1	2018	1042	1013	6	0	6	2	2	0	1	0
ENSG00000260032_ASO_G0260032_AD_06	LINC00657	136	47	89	406	213	193	1	1	0	0	0
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	101	45	56	709	285	424	3	1	0	2	0
ENSG00000234608_ASO_G0234608_AD_04	MAPKAPK5-AS1	6402	4546	2236	440	176	264	120	45	13	31	36
ENSG00000260032_ASO_G0260032_AD_01	LINC00657	136	47	89	884	379	505	3	2	1	0	0
ENSG00000233396_ASO_G0233396_07	RP11-458D21.1	4099	3126	1067	7751	3613	4138	1453	285	152	378	676
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	2689	880	1875	654	313	341	91	41	23	8	22
ENSG00000233396_ASO_G0233396_02	RP11-458D21.1	4099	3126	1067	12	0	12	2	1	0	1	0
ENSG00000246430_ASO_G0246430_03	LINC00968	87	14	73	1398	555	843	6	6	0	0	0
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	2689	880	1875	90	24	66	21	15	3	5	1
ENSG00000273015_ASO_G0273015_05	LINC00938	336	170	166	184	122	62	5	0	1	4	0
ENSG00000225733_ASO_G0225733_04	FGD5-AS1	91	45	46	330	157	173	1	0	0	1	0
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	2018	1042	1013	220	68	152	24	12	4	5	3
ENSG00000260565_ASO_G0260565_AD_08	ERVK13-1	528	167	365	6	1	5	1	0	0	1	0
ENSG00000229647_ASO_G0229647_06	AC007879.7	1498	675	855	97	26	71	11	5	2	4	1
ENSG00000231185_ASO_G0231185_03	AC005592.2	4	2	2	1274	526	748	1	1	0	0	0
ENSG00000225791_ASO_G0225791_05	TRAM2-AS1	1551	1074	484	3	0	3	1	1	0	0	0
ENSG00000253161_ASO_C013368_01	RP11-150O12.1	3067	822	2304	118	36	82	12	7	3	1	1
ENSG00000214548_ASO_G0214548_01	MEG3	52	18	34	1595	1154	441	1	0	1	0	0
ENSG00000240875_ASO_G0240875_03	LINC00886	36	8	28	843	408	435	2	0	0	0	2
ENSG00000267577_ASO_G0267577_01	CTD-2587H24.5	1	0	1	9929	4748	5181	1	0	1	0	0
ENSG00000214548_ASO_G0214548_AD_09	MEG3	52	18	34	1960	980	980	3	1	2	0	0
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	101	45	56	2693	1143	1550	19	12	2	3	2
ENSG00000246273_ASO_G0246273_02	SBF2-AS1	409	79	330	1176	505	671	28	20	1	6	1
ENSG00000223485_ASO_G0223485_01	RP11-417E7.1	60	19	41	3821	2000	1821	11	5	1	3	2
ENSG00000212978_ASO_G0212978_01	AC016747.3	4277	2161	2327	31	7	24	11	9	1	2	0
