	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	207	4070	680	19744	93	2234	412	21962	34	2293	348	22026	56	2105	449	22091	36	2125	346	22194
1	25	4252	65	20359	14	2313	42	22332	3	2324	31	22343	5	2156	51	22489	5	2156	29	22511
2	1	1146	1	23553	1	998	1	23701	0	999	0	23702	0	156	2	24543	0	156	0	24545
3	1	335	5	24360	1	165	5	24530	0	166	0	24535	0	170	6	24525	0	170	0	24531
4	472	5930	920	17379	189	2047	648	21817	44	2192	511	21954	196	4350	641	19514	85	4461	470	19685
5	1	608	57	24035	0	531	2	24168	1	530	55	24115	0	78	2	24621	0	78	56	24567
6	35	2129	317	22220	9	973	251	23468	2	980	90	23629	22	1200	238	23241	3	1219	89	23390
7	1	17	1334	23349	1	13	755	23932	0	14	579	24108	0	4	756	23941	0	4	579	24118
8	4	2160	21	22516	2	980	13	23706	0	982	10	23709	1	1221	14	23465	1	1221	9	23470
9	1	35	342	24323	0	28	160	24513	0	28	183	24490	0	8	160	24533	1	7	182	24511
10	3	88	812	23798	1	45	483	24172	1	45	330	24325	1	44	483	24173	0	45	331	24325
11	291	2776	1589	20045	118	2186	827	21570	116	2188	819	21578	29	793	916	22963	30	792	905	22974
12	9	51	4148	20493	2	39	2314	22346	4	37	1837	22823	1	18	2315	22367	2	17	1839	22843
13	3	2015	8	22675	1	1012	9	23679	1	1012	0	23688	1	1041	9	23650	0	1042	1	23658
14	65	6337	174	18125	16	2220	118	22347	6	2230	99	22366	18	4528	116	20039	28	4518	77	20078
15	2	295	24	24380	2	204	23	24472	0	206	1	24494	0	93	25	24583	0	93	1	24607
16	1	3	998	23699	0	2	560	24139	1	1	438	24261	0	2	560	24139	0	2	439	24260
17	2	2016	4	22679	2	1011	4	23684	0	1013	0	23688	1	1041	5	23654	0	1042	0	23659
18	1	135	405	24160	1	88	192	24420	0	89	213	24399	0	47	193	24461	0	47	213	24441
19	3	98	706	23894	1	55	423	24222	0	56	285	24360	2	43	422	24234	0	45	285	24371
20	120	6282	320	17979	45	2191	219	22246	13	2223	163	22302	31	4515	233	19922	36	4510	140	20015
21	3	133	881	23684	2	87	503	24109	1	88	378	24234	0	47	505	24149	0	47	379	24275
22	1453	2646	6298	14304	285	782	3853	19781	152	915	3461	20173	378	2748	3760	17815	676	2450	2937	18638
23	91	2598	563	21449	41	1834	300	22526	23	1852	290	22536	8	872	333	23488	22	858	291	23530
24	2	4097	10	20592	1	1066	11	23623	0	1067	0	23634	1	3125	11	21564	0	3126	0	21575
25	6	81	1392	23222	6	67	837	23791	0	73	555	24073	0	14	843	23844	0	14	555	24132
26	21	2668	69	21943	15	1860	51	22775	3	1872	21	22805	5	875	61	23760	1	879	23	23798
27	5	331	179	24186	0	166	62	24473	1	165	121	24414	4	166	58	24473	0	170	122	24409
28	1	90	329	24281	0	46	173	24482	0	46	157	24498	1	44	172	24484	0	45	157	24499
29	24	1994	196	22487	12	1001	140	23548	4	1009	64	23624	5	1037	147	23512	3	1039	65	23594
30	1	527	5	24168	0	365	5	24331	0	365	1	24335	1	166	4	24530	0	167	1	24533
31	11	1487	86	23117	5	850	66	23780	2	853	24	23822	4	671	67	23959	1	674	25	24001
32	1	3	1273	23424	1	1	747	23952	0	2	526	24173	0	2	748	23951	0	2	526	24173
33	1	1550	2	23148	1	483	2	24215	0	484	0	24217	0	1074	3	23624	0	1074	0	23627
34	12	3055	106	21528	7	2297	75	22322	3	2301	33	22364	1	821	81	23798	1	821	35	23844
35	1	51	1594	23055	0	34	441	24226	1	33	1153	23514	0	18	441	24242	0	18	1154	23529
36	2	34	841	23824	0	28	435	24238	0	28	408	24265	0	8	435	24258	2	6	406	24287
37	1	0	9928	14772	0	1	5181	19519	1	0	4747	19953	0	0	5181	19520	0	0	4748	19953
38	3	49	1957	22692	1	33	979	23688	2	32	978	23689	0	18	980	23703	0	18	980	23703
39	19	82	2674	21926	12	44	1538	23107	2	54	1141	23504	3	42	1547	23109	2	43	1141	23515
40	28	381	1148	23144	20	310	651	23720	1	329	504	23867	6	73	665	23957	1	78	504	24118
41	11	49	3810	20831	5	36	1816	22844	1	40	1999	22661	3	16	1818	22864	2	17	1998	22684
42	11	4266	20	20404	9	2318	15	22359	1	2326	6	22368	2	2159	22	22518	0	2161	7	22533
