	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	7	6512	4	18178	4	4185	6	20506	1	4188	0	20512	2	2985	8	21706	0	2987	1	21713
1	232	6050	652	17767	105	4130	400	20066	61	4174	318	20148	57	2305	448	21891	23	2339	356	21983
2	35	2390	317	21959	10	936	250	23505	6	940	86	23669	15	1548	245	22893	6	1557	86	23052
3	384	6507	651	17159	158	4610	372	19561	81	4687	424	19509	136	2427	394	21744	44	2519	461	21677
4	21	187	1097	23396	7	124	682	23888	2	129	427	24143	12	65	677	23947	0	77	429	24195
5	1	5182	1	19517	0	2579	2	22120	0	2579	0	22122	1	2923	1	21776	0	2924	0	21777
6	11	2546	59	22085	3	1762	33	22903	4	1761	30	22906	1	808	35	23857	3	806	31	23861
7	21	8427	10	16243	12	5949	12	18728	0	5961	7	18733	13	3487	11	21190	1	3499	6	21195
8	84	6435	136	18046	36	4153	116	20396	15	4174	53	20459	30	2957	122	21592	12	2975	56	21658
9	3	2464	11	22223	1	1129	7	23564	1	1129	5	23566	1	1401	7	23292	0	1402	6	23293
10	5	1035	23	23638	2	756	8	23935	0	758	18	23925	0	289	10	24402	3	286	15	24397
11	11	2546	67	22077	6	1759	56	22880	0	1765	16	22920	5	804	57	23835	0	809	16	23876
12	851	9614	744	13492	202	8040	239	16220	477	7765	677	15782	109	3268	332	20992	162	3215	992	20332
13	1	10464	1	14235	1	8241	1	16458	0	8242	0	16459	0	3377	2	21322	0	3377	0	21324
14	172	5011	482	19036	53	2526	288	21834	37	2542	276	21846	54	2870	287	21490	40	2884	273	21504
15	46	6013	51	18591	27	3677	44	20953	3	3701	23	20974	24	2848	47	21782	1	2871	25	21804
16	3	2422	22	22254	1	945	14	23741	0	946	10	23745	3	1560	12	23126	0	1563	10	23128
17	359	3598	1039	19705	233	2432	610	21426	43	2622	512	21524	64	1358	779	22500	37	1385	518	22761
18	30	5625	88	18958	10	2676	72	21943	4	2682	32	21983	10	3324	72	21295	7	3327	29	21338
19	18	1358	94	23231	2	500	95	24104	2	500	13	24186	14	870	83	23734	0	884	15	23802
20	264	5220	551	18666	120	3669	364	20548	65	3724	266	20646	83	1865	401	22352	16	1932	315	22438
21	1	5	987	23708	0	1	482	24218	0	1	506	24194	1	4	481	24215	0	5	506	24190
22	362	3716	1171	19452	166	1950	498	22087	41	2075	828	21757	95	1973	569	22064	74	1994	795	21838
23	5	3232	27	21437	1	1753	30	22917	1	1753	0	22947	3	1557	28	23113	0	1560	1	23140
24	29	5154	61	19457	9	2570	57	22065	1	2578	23	22099	18	2906	48	21729	3	2921	21	21756
25	6	518	401	23776	5	392	219	24085	1	396	182	24122	0	127	224	24350	0	127	183	24391
26	5	15	1387	23294	4	12	833	23852	0	16	555	24130	1	3	836	23861	0	4	555	24142
27	120	442	2573	21566	43	226	1507	22925	16	253	1127	23305	50	247	1500	22904	12	285	1131	23273
28	29	4139	76	20457	19	2704	69	21909	2	2721	15	21963	10	1570	78	23043	1	1579	16	23105
29	4	31	3914	20752	0	3	2243	22455	0	3	1675	23023	2	30	2241	22428	2	30	1673	22996
30	33	8415	57	16196	5	5956	51	18689	8	5953	26	18714	15	3485	41	21160	6	3494	28	21173
31	86	1290	942	22383	20	482	576	23623	14	488	418	23781	43	841	553	23264	10	874	422	23395
32	560	5095	1320	17726	139	2547	806	21209	108	2578	827	21188	201	3133	744	20623	146	3188	789	20578
33	23	6376	29	18273	8	4131	35	20527	3	4136	6	20556	15	2655	28	22003	0	2670	9	22022
34	2	3955	4	20740	0	2665	6	22030	0	2665	0	22036	2	1420	4	23275	0	1422	0	23279
35	22	1018	321	23340	15	743	145	23798	4	754	179	23764	0	289	160	24252	3	286	180	24232
36	1	4077	4	20619	1	2115	3	22582	0	2116	1	22584	0	2068	4	22629	0	2068	1	22632
37	1	1	6362	18337	0	1	3022	21678	1	0	3340	21360	0	1	3022	21678	0	1	3341	21359
38	1	2524	11	22165	0	1835	12	22854	0	1835	0	22866	1	720	11	23969	0	721	0	23980
39	59	5425	101	19116	32	3757	97	20815	2	3787	29	20883	27	1921	102	22651	4	1944	27	22726
40	12	2545	83	22061	6	1759	48	22888	2	1763	39	22897	3	806	51	23841	1	808	40	23852
41	1	4740	1	19959	0	2002	2	22697	0	2002	0	22699	1	2923	1	21776	0	2924	0	21777
42	1	1375	2	23323	0	502	1	24198	0	502	2	24197	1	883	0	23817	0	884	2	23815
43	64	6218	342	18077	31	4204	162	20304	14	4221	199	20267	7	2355	186	22153	14	2348	199	22140
44	6	11808	0	12887	5	9443	1	15252	0	9448	0	15253	1	3875	5	20820	0	3876	0	20825
45	657	9510	493	14041	371	6735	268	17327	126	6980	385	17210	137	3874	502	20188	102	3909	409	20281
46	109	2773	571	21248	27	1194	224	23256	31	1190	398	23082	32	1666	219	22784	20	1678	409	22594
47	1057	9408	903	13333	325	7917	655	15804	519	7723	461	15998	141	3236	839	20485	199	3178	781	20543
48	2	7616	40	17043	1	4930	6	19764	1	4930	34	19736	0	3525	7	21169	1	3524	34	21142
49	18	11796	40	12847	2	9446	0	15253	12	9436	44	15209	0	3876	2	20823	4	3872	52	20773
50	10	6389	16	18286	6	4133	19	20543	1	4138	0	20562	4	2666	21	22010	0	2670	1	22030
51	11	5	8955	15730	2	0	4367	20332	0	2	4597	20102	6	8	4363	20324	3	11	4594	20093
52	5	9	4508	20179	4	6	2448	22243	1	9	2060	22631	0	4	2452	22245	0	4	2061	22636
53	2	5482	12	19205	1	3788	13	20899	0	3789	0	20912	1	1947	13	22740	0	1948	0	22753
54	3	6516	3	18179	1	4188	5	20507	0	4189	0	20512	3	2984	3	21711	0	2987	0	21714
55	1030	1495	6721	15455	320	1515	3818	19048	447	1388	3166	19700	190	531	3948	20032	86	635	3527	20453
56	182	2844	795	20880	77	1630	483	22511	38	1669	379	22615	53	1349	507	22792	26	1376	391	22908
57	1	3025	1	21674	0	1707	2	22992	0	1707	0	22994	1	1401	1	23298	0	1402	0	23299
58	106	5378	224	18993	32	3757	141	20771	28	3761	129	20783	24	1924	149	22604	27	1921	130	22623
59	1125	5766	1919	15891	581	4187	1235	18698	238	4530	990	18943	284	2279	1532	20606	132	2431	1096	21042
60	1411	6207	2410	14673	661	4270	1160	18610	306	4625	1694	18076	485	3040	1336	19840	166	3359	1834	19342
61	5	30	1405	23261	0	3	1319	23379	0	3	91	24607	5	27	1314	23355	0	32	91	24578
62	1556	6062	2601	14482	648	4283	1668	18102	400	4531	1441	18329	410	3115	1906	19270	262	3263	1579	19597
63	1	39	397	24264	0	15	202	24484	0	15	196	24490	1	24	201	24475	0	25	196	24480
64	2	11812	0	12887	0	9448	2	15251	0	9448	0	15253	2	3874	0	20825	0	3876	0	20825
65	55	985	788	22873	23	735	412	23531	18	740	390	23553	7	282	428	23984	7	282	401	24011
66	392	8056	495	15758	163	5798	342	18398	113	5848	269	18471	131	3369	374	20827	48	3452	334	20867
67	31	531	678	23461	13	256	411	24021	2	267	283	24149	15	282	409	23995	1	296	284	24120
68	1	6058	1	18641	0	3704	2	20995	0	3704	0	20997	1	2871	1	21828	0	2872	0	21829
